Model,Error Condition,Method,Time to Complete (mins),CFI,TLI,RMSEA,Composite Reliability
One Factor,None,ACO,1.537,0.975,0.967,0.045,0.855
,None,SA,1.490,0.992,0.990,0.020,0.819
,None,TS,5.672,0.985,0.981,0.027,0.810
,None,GA,0.625,0.975,0.968,0.043,0.839
,Minor,ACO,1.521,0.966,0.956,0.052,0.855
,Minor,SA,1.482,0.989,0.987,0.022,0.808
,Minor,TS,5.571,0.978,0.972,0.035,0.806
,Minor,GA,0.607,0.968,0.959,0.048,0.839
,Major,ACO,1.594,0.944,0.928,0.062,0.834
,Major,SA,1.448,0.983,0.979,0.028,0.788
,Major,TS,5.570,0.944,0.928,0.057,0.796
,Major,GA,0.613,0.846,0.802,0.113,0.835
