Model,Error Condition,Method,Time to Complete (mins),CFI,TLI,RMSEA,Reliability: Engage,Reliability: Instruct,Reliability: Manage
Three Factor,None,ACO,1.607,0.980,0.974,0.042,0.788,0.850,0.836
,None,SA,2.873,0.992,0.990,0.023,0.764,0.829,0.806
,None,TS,2.779,0.989,0.986,0.027,0.760,0.827,0.809
,None,GA,2.104,0.979,0.973,0.042,0.763,0.846,0.820
,Minor,ACO,1.542,0.972,0.964,0.050,0.785,0.846,0.831
,Minor,SA,2.731,0.990,0.987,0.026,0.747,0.826,0.805
,Minor,TS,2.630,0.984,0.979,0.035,0.751,0.826,0.805
,Minor,GA,1.969,0.970,0.961,0.050,0.759,0.839,0.818
,Major,ACO,1.389,0.953,0.939,0.062,0.777,0.844,0.818
,Major,SA,2.543,0.989,0.986,0.027,0.748,0.831,0.804
,Major,TS,2.463,0.961,0.950,0.053,0.742,0.828,0.800
,Major,GA,1.759,0.909,0.882,0.089,0.753,0.832,0.805
